
> @barra-vips/operator-web@0.1.0 dev
> next dev --hostname 127.0.0.1 --port 3000

▲ Next.js 16.2.4 (Turbopack)
- Local:         http://127.0.0.1:3000
- Network:       http://127.0.0.1:3000
- Environments: .env.local
✓ Ready in 1218ms

 GET /api/operator/status/agent?window=24h 502 in 843ms (next.js: 243ms, proxy.ts: 58ms, application-code: 542ms)
 GET /conversas 200 in 940ms (next.js: 175ms, proxy.ts: 46ms, application-code: 719ms)
 GET /api/operator/conversations?page=1&page_size=25 502 in 41ms (next.js: 12ms, proxy.ts: 14ms, application-code: 16ms)
 GET /api/operator/dashboard/summary?window=24h 502 in 235ms (next.js: 83ms, proxy.ts: 69ms, application-code: 83ms)
 GET /api/operator/handoffs/summary?window=7d 502 in 238ms (next.js: 89ms, proxy.ts: 73ms, application-code: 76ms)
 GET /api/operator/dashboard/queues?page_size=10 502 in 241ms (next.js: 92ms, proxy.ts: 80ms, application-code: 68ms)
 GET /api/operator/conversations?page_size=100 502 in 246ms (next.js: 99ms, proxy.ts: 85ms, application-code: 61ms)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 502 in 249ms (next.js: 105ms, proxy.ts: 89ms, application-code: 55ms)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 502 in 254ms (next.js: 110ms, proxy.ts: 92ms, application-code: 52ms)
 GET /handoffs 200 in 725ms (next.js: 93ms, proxy.ts: 15ms, application-code: 616ms)
 GET /api/operator/schedule/slots?from=2026-04-22T21%3A34%3A50.153Z&to=2026-05-06T21%3A34%3A50.153Z&page_size=100 502 in 164ms (next.js: 48ms, proxy.ts: 52ms, application-code: 64ms)
 GET /api/operator/media?page_size=100 502 in 166ms (next.js: 56ms, proxy.ts: 53ms, application-code: 57ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 502 in 170ms (next.js: 62ms, proxy.ts: 55ms, application-code: 53ms)
 GET /api/operator/models/active 502 in 187ms (next.js: 67ms, proxy.ts: 61ms, application-code: 59ms)
 GET /api/operator/status/agent?window=24h 502 in 193ms (next.js: 78ms, proxy.ts: 62ms, application-code: 53ms)
 GET /api/operator/handoffs/summary?window=7d 502 in 104ms (next.js: 47ms, proxy.ts: 27ms, application-code: 30ms)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=50 502 in 115ms (next.js: 57ms, proxy.ts: 27ms, application-code: 30ms)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=50 502 in 117ms (next.js: 68ms, proxy.ts: 28ms, application-code: 20ms)
 GET /agenda 200 in 363ms (next.js: 108ms, proxy.ts: 82ms, application-code: 174ms)
 GET /api/operator/schedule/slots?page=1&page_size=100&from=2026-04-22T21%3A34%3A00.000Z&to=2026-05-06T21%3A34%3A00.000Z 502 in 214ms (next.js: 10ms, proxy.ts: 19ms, application-code: 185ms)
 GET /midias 200 in 330ms (next.js: 122ms, proxy.ts: 20ms, application-code: 188ms)
 GET /api/operator/media?page=1&page_size=60 502 in 185ms (next.js: 11ms, proxy.ts: 17ms, application-code: 157ms)
 GET /modelos 200 in 320ms (next.js: 98ms, proxy.ts: 20ms, application-code: 201ms)
 GET /api/operator/models/active 502 in 52ms (next.js: 17ms, proxy.ts: 16ms, application-code: 18ms)
 GET /status 200 in 263ms (next.js: 14ms, proxy.ts: 30ms, application-code: 219ms)
 GET /api/operator/dashboard/summary?window=24h 502 in 167ms (next.js: 43ms, proxy.ts: 37ms, application-code: 86ms)
 GET /api/operator/handoffs/summary?window=7d 502 in 171ms (next.js: 59ms, proxy.ts: 39ms, application-code: 73ms)
 GET /api/operator/dashboard/queues?page_size=10 502 in 174ms (next.js: 64ms, proxy.ts: 44ms, application-code: 66ms)
 GET /api/operator/conversations?page_size=100 502 in 177ms (next.js: 73ms, proxy.ts: 45ms, application-code: 58ms)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 502 in 184ms (next.js: 84ms, proxy.ts: 46ms, application-code: 54ms)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 502 in 186ms (next.js: 93ms, proxy.ts: 49ms, application-code: 44ms)
